State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Kerala,Kasaragod,474961,43.18,Indian National Congress,Rajmohan Unnithan,10,76.4166666
Kerala,Kollam,499677,51.61,Revolutionary Socialist Party,N.K.Premachandran,10,76.4166666
Kerala,Kottayam,421046,46.25,Kerala Congress (M),Thomas Chazhikadan,10,76.4166666
Kerala,Kozhikode,493444,45.85,Indian National Congress,M.K.RAGHAVAN,10,76.4166666
Kerala,Malappuram,589873,57.01,Indian Union Muslim League,P.K. Kunhalikutty,10,76.4166666
Kerala,Mavelikkara,440415,45.36,Indian National Congress,KODIKUNNIL SURESH,10,76.4166666
Kerala,Palakkad,399274,38.83,Indian National Congress,V K SREEKANDAN,10,76.4166666
Kerala,Pathanamthitta,380927,37.11,Indian National Congress,ANTO ANTONY,10,76.4166666
Kerala,Ponnani,521824,51.3,Indian Union Muslim League,E. T. Mohammed Basheer,10,76.4166666
Kerala,Thiruvananthapuram,416131,41.19,Indian National Congress,Dr. SHASHI THAROOR,10,76.4166666
Kerala,Thrissur,415089,39.84,Indian National Congress,T. N. PRATHAPAN,10,76.4166666
Kerala,Vadakara,526755,49.43,Indian National Congress,K. MURALEEDHARAN,10,76.4166666
Kerala,Wayanad,706367,64.67,Indian National Congress,Rahul Gandhi,10,76.4166666
Lakshadweep,Lakshadweep,22851,48.61,Nationalist Congress Party,MOHAMMED FAIZAL PP,10,73
Madhya Pradesh,BALAGHAT,696102,50.74,Bharatiya Janata Party,DR DHAL SINGH BISEN,23.5,80
Madhya Pradesh,BETUL,811248,59.74,Bharatiya Janata Party,DURGA DAS (D.D.) UIKEY,23.5,80
Madhya Pradesh,BHIND,527694,54.93,Bharatiya Janata Party,SANDHYA RAY,23.5,80
Madhya Pradesh,BHOPAL,866482,61.54,Bharatiya Janata Party,SADHVI PRAGYA SINGH THAKUR,23.5,80
Madhya Pradesh,CHHINDWARA,587305,47.06,Indian National Congress,NAKUL KAMAL NATH,23.5,80
Madhya Pradesh,DAMOH,704524,60.51,Bharatiya Janata Party,PRAHALAD SINGH PATEL,23.5,80
Madhya Pradesh,DEWAS,862429,61.65,Bharatiya Janata Party,MAHENDRA SINGH SOLANKY,23.5,80
Madhya Pradesh,DHAR,722147,53.73,Bharatiya Janata Party,CHATTARSINGH DARBAR,23.5,80
Madhya Pradesh,GUNA,614049,52.11,Bharatiya Janata Party,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",23.5,80
Madhya Pradesh,GWALIOR,627250,52.44,Bharatiya Janata Party,VIVEK NARAYAN SHEJWALKAR,23.5,80
Madhya Pradesh,HOSHANGABAD,877927,69.35,Bharatiya Janata Party,UDAY PRATAP SINGH,23.5,80
Madhya Pradesh,INDORE,1068569,65.59,Bharatiya Janata Party,SHANKAR LALWANI,23.5,80
Madhya Pradesh,JABALPUR,826454,65.41,Bharatiya Janata Party,RAKESH SINGH,23.5,80
Madhya Pradesh,KHAJURAHO,811135,64.49,Bharatiya Janata Party,V.D. SHARMA (VISHNU DATT SHARMA),23.5,80
