State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Karnataka,Bidar,585471,52.41,Bharatiya Janata Party,BHAGWANTH KHUBA,17.9104,77.5199
Karnataka,Bijapur,635867,57.22,Bharatiya Janata Party,JIGAJINAGI RAMESH CHANDAPPA,16.83,75.71
Karnataka,Chamarajanagar,568537,44.74,Bharatiya Janata Party,V. SRINIVAS PRASAD,11.92,76.95
Karnataka,Chikkballapur,745912,53.78,Bharatiya Janata Party,B.N.Bache Gowda,13.7,75.76
Karnataka,Chikkodi,645017,52.98,Bharatiya Janata Party,ANNASAHEB SHANKAR JOLLE,13.47,77.73
Karnataka,Chitradurga,626195,50.26,Bharatiya Janata Party,A NARAYANASWAMY,14.23,76.39
Karnataka,Dakshina Kannada,774285,57.57,Bharatiya Janata Party,NALIN KUMAR KATEEL,13.01,77.49
Karnataka,Davanagere,652996,54.66,Bharatiya Janata Party,G M SIDDESHWAR,14.4644,75.9218
Karnataka,Dharwad,684837,56.43,Bharatiya Janata Party,Pralhad Joshi,15.4589,75.0078
Karnataka,Gulbarga,620192,52.14,Bharatiya Janata Party,DR. UMESH G JADHAV,17.34,76.82
Karnataka,Hassan,676606,52.96,Janata Dal (Secular),PRAJWAL REVANNA,13.01,76.08
Karnataka,Haveri,683660,53.97,Bharatiya Janata Party,UDASI. S.C.,14.8,75.4
Karnataka,Kolar,709165,56.35,Bharatiya Janata Party,S. MUNISWAMY,13.14,78.13
Karnataka,Koppal,586783,49.3,Bharatiya Janata Party,KARADI SANGANNA AMARAPPA,15.35,76.15
Karnataka,Mandya,703660,51.02,Independent,SUMALATHA AMBAREESH,12.54,76.89
Karnataka,Mysore,688974,52.27,Bharatiya Janata Party,PRATHAP SIMHA,12.31,76.65
Karnataka,Raichur,598337,53.21,Bharatiya Janata Party,RAJA AMARESHWARA NAIK,16.21,77.35
Karnataka,Shimoga,729872,56.86,Bharatiya Janata Party,B.Y.RAGHAVENDRA.,13.93,75.57
Karnataka,Tumkur,596127,47.89,Bharatiya Janata Party,G. S. BASAVARAJ,13.34,77.1
Karnataka,Udupi Chikmagalur,718916,62.46,Bharatiya Janata Party,SHOBHA KARANDLAJE,13.35,74.75
Karnataka,Uttara Kannada,786042,68.15,Bharatiya Janata Party,ANANTKUMAR HEGDE,13.1,77.6
Kerala,Alappuzha,445970,40.96,Communist Party of India (Marxist),Adv. A M ARIFF,9.4981,76.3388
